Unnamed: 0,index,release_year,rank,song,artist,last-week,peak-rank,weeks-on-board,release_year.1,count,track_id
36,270,2006,47,Laffy Taffy,D4L,42.0,1,26,2006,1,2ajhenDRiiAnCHHjsIOHhJ
37,271,2005,45,Hollaback Girl,Gwen Stefani,40.0,1,31,2005,1,0LzrhCZFXW94Y8nwtTuRlw
38,272,2005,98,Inside Your Heaven,Carrie Underwood,94.0,1,12,2005,1,3w8xlZi49MQuQkyyB5bi5e
39,274,2005,46,Let Me Love You,Mario,38.0,1,36,2005,1,0lYBSQXN6rCTvUZvg9S0lU
40,277,2005,41,My Boo,Usher And Alicia Keys,34.0,1,26,2005,1,6pcywuOeGGWeOQzdUyti6k
41,278,2005,48,Lean Back,Terror Squad,31.0,1,31,2005,1,2Ozc0me9PV5vlt8cokwdvI
42,286,2004,98,I Believe,Fantasia,88.0,1,10,2004,1,3G7tRC24Uh09Hmp1KZ7LQ2
43,295,2003,97,This Is The Night,Clay Aiken,98.0,1,16,2003,1,01YROQCnF1AQm7SCWJmD2o
44,297,2003,46,In Da Club,50 Cent,44.0,1,30,2003,1,4RY96Asd9IefaL3X4LOLZ8
45,301,2002,39,Hot In Herre,Nelly,35.0,1,26,2002,1,04KTF78FFg8sOHC1BADqbY
46,302,2002,49,Foolish,Ashanti,50.0,1,32,2002,1,6zMUIb4uce1CzpbjR3vMdN
47,303,2002,50,How You Remind Me,Nickelback,45.0,1,49,2002,1,0gmbgwZ8iqyMPmXefof8Yf
48,307,2002,46,Family Affair,Mary J. Blige,47.0,1,41,2002,1,3aw9iWUQ3VrPQltgwvN9Xu
49,318,2001,50,Butterfly,Crazy Town,37.0,1,23,2001,1,2cYqizR4lgvp4Qu6IQ3qGN
50,319,2001,44,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent",33.0,1,25,2001,1,3WkibOpDF7cQ5xntM1epyf
51,320,2001,41,With Arms Wide Open,Creed,37.0,1,47,2001,1,0eKyHwckh9vQb8ncZ2DXCs
52,333,2001,48,Bent,matchbox twenty,38.0,1,39,2001,1,6ulEymrJ2Azx1uo3YHSE5w
53,337,2000,46,Incomplete,Sisqo,32.0,1,26,2000,1,3w8Mw9GHYepoTWOSdiyosj
54,338,2000,50,Everything You Want,Vertical Horizon,47.0,1,41,2000,1,4cKGldbhGJniI8BrB3K6tb
55,339,2000,43,Try Again,Aaliyah,36.0,1,32,2000,1,4Sav8RLaXMBpTZX6xNPj0K
56,340,2000,48,It's Gonna Be Me,'N Sync,38.0,1,25,2000,1,2AW37v0bDyuOzGP3XnmFuA
57,342,2000,50,Amazed,Lonestar,45.0,1,55,2000,1,6qc34bnVOyqGDPni8H5W0U
58,354,1999,50,If You Had My Love,Jennifer Lopez,46.0,1,25,1999,1,3x4yV0hW5Ve3TKhFkXSqFn
59,356,1999,55,Livin' La Vida Loca,Ricky Martin,44.0,1,20,1999,1,0Ph6L4l8dYUuXFmb71Ajnd
60,363,1999,40,Have You Ever?,Brandy,39.0,1,22,1999,1,2LawezPeJhN4AWuSB0GtAU
61,365,1999,50,Doo Wop (That Thing),Lauryn Hill,47.0,1,21,1999,1,0uEp9E98JB5awlA084uaIg
62,366,1999,49,Lately,Divine,41.0,1,27,1999,1,5uKeg9x7ykaz7xe13vL1hg
63,367,1999,50,Too Close,Next,48.0,1,53,1999,1,7M6KOBCfPzWqbkiaXnm7bd
64,368,1999,69,One Week,Barenaked Ladies,63.0,1,20,1999,1,7CyPwkp0oE8Ro9Dd5CUDjW
65,369,1999,67,I Don't Want To Miss A Thing,Aerosmith,77.0,1,20,1999,1,5qlJg0Wbj3sslxfwiaRNpq
66,372,1998,47,Gettin' Jiggy Wit It,Will Smith,44.0,1,32,1998,1,0weAUscowxeqDtpCgtbpgp
67,387,1997,50,MMMBop,Hanson,43.0,1,22,1997,1,0lnxrQAd9ZxbhBBe7d8FO8
68,388,1997,80,Hypnotize,The Notorious B.I.G.,60.0,1,20,1997,1,7KwZNVEaqikRSBSpyhXK2j
69,392,1997,45,Wannabe,Spice Girls,38.0,1,23,1997,1,1Je1IMUlBXcx1Fz0WE7oPT
70,394,1997,44,Macarena (Bayside Boys Mix),Los Del Rio,42.0,1,60,1997,1,0a3SUpxyMCdPy6mrFH4YJF
71,396,1996,58,Tha Crossroads,Bone Thugs-N-Harmony,57.0,1,20,1996,1,5KSJ9k1FYjFLnIRlJT2wF8
72,399,1996,48,Kiss From A Rose,Seal,44.0,1,36,1996,1,3YKptz29AsOlm7WAVnztBh
73,403,1995,48,This Is How We Do It,Montell Jordan,49.0,1,29,1995,1,6uQKuonTU8VKBz5SHZuQXD
74,404,1995,49,"Here Comes The Hotstepper (From ""Ready To Wear"")",Ini Kamoze,45.0,1,30,1995,1,noid
75,406,1994,50,I Swear,All-4-One,47.0,1,30,1994,1,1lbjDy6IIerHFGZWKG0hno
76,407,1994,50,The Sign,Ace Of Base,47.0,1,41,1994,1,5Ohxk2dO5COHF1krpoPigN
77,408,1994,38,Bump N' Grind,R. Kelly,40.0,1,25,1994,1,0DBIL8arX0Zo6eAuxNIpik
78,417,1994,50,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,45.0,1,22,1994,1,57udlq7E7Fg0NWMkJAexP9
79,420,1993,46,Weak,SWV,46.0,1,26,1993,1,71EHOyEOhNx1SzTebRRyng
80,421,1993,47,Freak Me,Silk,34.0,1,24,1993,1,0AluA5RNsa4Cx6XRhf2hWZ
81,422,1993,52,Informer,Snow,41.0,1,25,1993,1,2LjiPAQOVazT8sRyXL3XRs
82,424,1993,75,How Do You Talk To An Angel,The Heights,69.0,1,20,1993,1,2QVHmiFTjFsHyxONRdbkcq
83,425,1992,41,Baby Got Back,Sir Mix-A-Lot,32.0,1,28,1992,1,1SAkL1mYNJlaqnBQxVZrRl
84,426,1992,46,Jump,Kris Kross,42.0,1,21,1992,1,7N3PAbqfTjSEU1edb2tY8j
85,427,1992,47,Save The Best For Last,Vanessa Williams,43.0,1,27,1992,1,7okbmgA8lRBGl5limZ7LFM
86,428,1992,48,To Be With You,Mr. Big,43.0,1,24,1992,1,0eifvmNPHWaSh4IKNR4Xva
87,431,1992,35,I'm Too Sexy,Right Said Fred,25.0,1,21,1992,1,3qEODCkVZpKfTqbNsorj8j
88,433,1992,51,Set Adrift On Memory Bliss,P.M. Dawn,40.0,1,20,1992,1,0qiF6U6WT4nGQTQnhU1chs
89,436,1992,67,Cream,Prince And The N.P.G.,60.0,1,20,1992,1,03ThZweiBWFP8tOGsk6QMO
90,437,1991,29,Romantic,Karyn White,29.0,1,20,1991,1,1xK59OXxi2TAAAbmZK0kBL
91,444,1991,94,Unbelievable,EMF,81.0,1,23,1991,1,5VYTKiOnHw4iTrB9pG3yum
92,445,1991,88,More Than Words,Extreme,70.0,1,24,1991,1,1gVgkQFOKa8Wc1HYsJtPdH
93,446,1991,91,I Like The Way (The Kissing Game),Hi-Five,67.0,1,23,1991,1,0u16RbrSY7DWF3WAr0aaZ3
94,447,1991,93,Baby Baby,Amy Grant,70.0,1,21,1991,1,0zirWZTcXBBwGsevrsIpvT
95,452,1991,90,I've Been Thinking About You,Londonbeat,67.0,1,19,1991,1,0ljyDzqD8DEro3JIrF0Zxb
96,456,1991,97,One More Try,Timmy T.,86.0,1,25,1991,1,5932kbyNt445gDTT2chRUS
97,459,1991,97,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,82.0,1,25,1991,1,7eheoW4hxrH51ww2QePVwF
98,460,1991,100,The First Time,Surface,88.0,1,25,1991,1,2R4AlwtrrkMaRKojcTIzmL
99,461,1991,93,Because I Love You (The Postman Song),Stevie B,83.0,1,23,1991,1,6GWAYg3cZzizs3FAJzdydD
100,462,1991,91,Ice Ice Baby,Vanilla Ice,77.0,1,21,1991,1,3XVozq1aeqsJwpXrEZrDJ9
101,463,1991,99,I Don't Have The Heart,James Ingram,91.0,1,26,1991,1,5In7xBveNACCRX2uWNoPuW
102,464,1991,95,Close To You,Maxi Priest,77.0,1,30,1991,1,06Qo2fYR2KS1F7bL338iVT
103,465,1990,94,(Can't Live Without Your) Love And Affection,Nelson,94.0,1,26,1990,1,noid
104,466,1990,100,"Blaze Of Glory (From ""Young Guns II"")",Jon Bon Jovi,75.0,1,21,1990,1,noid
105,467,1990,91,If Wishes Came True,Sweet Sensation,80.0,1,20,1990,1,5gAdATsfINRIljv4LbrKX2
106,472,1990,97,Nothing Compares 2 U,Sinead O'Connor,72.0,1,21,1990,1,5GHY1DFWKz3Prg2V0Iodqo
107,473,1990,90,Black Velvet,Alannah Myles,71.0,1,24,1990,1,1KU5EHSz04JhGg3rReGJ0N
108,474,1990,100,I'll Be Your Everything,Tommy Page,68.0,1,18,1990,1,noid
109,475,1990,87,Love Will Lead You Back,Taylor Dayne,83.0,1,20,1990,1,3HLgjHYaEhKFvV4SSvI9Te
110,476,1990,95,Opposites Attract,Paula Abdul (Duet With The Wild Pair),92.0,1,23,1990,1,7z38bideBRvGAgjXe2SECm
111,489,1990,85,When I See You Smile,Bad English,79.0,1,22,1990,1,0tKjVEJlX3IZ5L1rEJc5hh
112,493,1989,85,Toy Soldiers,Martika,76.0,1,20,1989,1,6CN3e26iQSj1N5lomh0mfO
113,496,1989,93,"Wind Beneath My Wings (From ""Beaches"")",Bette Midler,86.0,1,29,1989,1,noid
114,499,1989,98,"Rock On (From ""Dream A Little Dream"")",Michael Damian,70.0,1,21,1989,1,noid
