,date,song,artist,peak-rank,weeks-on-board,release_year,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_m
120,2006,Laffy Taffy,D4L,1,26,2006,2ajhenDRiiAnCHHjsIOHhJ,0.891,0.439,G,-7.994,0,0.428,0.0351,0,0.0932,0.622,77.499,2ajhenDRiiAnCHHjsIOHhJ,3.74
121,2006,Everytime We Touch,Cascada,10,31,2006,5YJtMNWKe55yr49cyJgxva,0.633,0.976,G#,-5.362,1,0.0519,0.00281,1.29E-05,0.382,0.493,142.027,5YJtMNWKe55yr49cyJgxva,3.29
122,2006,Me & U,Cassie,3,27,2006,7k6IzwMGpxnRghE7YosnXT,0.803,0.454,G#,-4.802,0,0.0294,0.352,0,0.0655,0.739,99.99,7k6IzwMGpxnRghE7YosnXT,3.2
123,2006,It's Goin' Down,Yung Joc,3,28,2006,05Sgj1Hx03ZXc57gsV1kfX,0.888,0.577,C#,-7.702,0,0.0612,0.0986,0,0.131,0.609,84.003,05Sgj1Hx03ZXc57gsV1kfX,4.03
124,2006,Do I Make You Proud,Taylor Hicks,1,8,2006,25bu6rqqBZrYXuLaZaCzVs,0.564,0.419,C#,-10.8,1,0.0323,0.179,0,0.707,0.287,144.013,25bu6rqqBZrYXuLaZaCzVs,2.78
125,2006,(When You Gonna) Give It Up To Me,Sean Paul Feat. Keyshia Cole,3,22,2006,6k8uthjEbttfWXcGaNTQGD,0.711,0.761,G#,-3.04,1,0.225,0.067,0,0.041,0.718,95.824,6k8uthjEbttfWXcGaNTQGD,4.06
126,2006,Crazy,Gnarls Barkley,2,29,2006,3Ua0m0YmEjrMi9XErKcNiR,0.629,0.733,G,-5.445,1,0.0419,0.0025,0,0.357,0.362,120.001,3Ua0m0YmEjrMi9XErKcNiR,3.54
127,2006,Chain Hang Low,Jibbs,7,20,2006,0tYPj0NYa7vjlJaqlRSnJb,0.792,0.589,E,-6.869,0,0.262,0.0259,0.000128,0.114,0.778,157.147,0tYPj0NYa7vjlJaqlRSnJb,3.46
128,2006,Bad Day,Daniel Powter,1,32,2006,0mUyMawtxj1CJ76kn9gIZK,0.599,0.785,D#,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,0mUyMawtxj1CJ76kn9gIZK,3.89
129,2006,What's Left Of Me,Nick Lachey,6,25,2006,1bPqAXwNiVcM6zjJU1Z4Cd,0.421,0.728,G,-5.644,1,0.035,0.136,0,0.136,0.311,150.12,1bPqAXwNiVcM6zjJU1Z4Cd,4.08
130,2005,Breathe,Fabolous,10,20,2005,0dGqP4VickYjtIaB5VOt4H,0.451,0.627,G#,-4.59,1,0.127,0.591,0.00958,0.118,0.77,74.69,0dGqP4VickYjtIaB5VOt4H,3.07
131,2005,Lean Back,Terror Squad,1,31,2005,2Ozc0me9PV5vlt8cokwdvI,0.783,0.916,C#,-3.344,1,0.415,0.11,0,0.0746,0.695,95.321,2Ozc0me9PV5vlt8cokwdvI,4.12
132,2005,Slow Down,Bobby Valentino,8,22,2005,2qxmye6gAegTMjLKEBoR3d,0.652,0.557,C#,-5.714,0,0.0318,0.74,0,0.124,0.483,150.073,2qxmye6gAegTMjLKEBoR3d,2.82
133,2005,Listen To Your Heart,D.H.T.,8,27,2005,1qIKynV6YQZgocodkPdCy7,0.539,0.583,C#,-4.935,0,0.0275,0.108,0,0.111,0.337,86.063,1qIKynV6YQZgocodkPdCy7,5.47
134,2005,Outta Control (Remix),50 Cent Feat. Mobb Deep,6,19,2005,7BKi4ZcyMBXeAvJ1OPxhdV,0.77,0.587,G#,-5.99,0,0.265,0.0268,0,0.0621,0.574,92.009,7BKi4ZcyMBXeAvJ1OPxhdV,4.13
135,2005,Mr. Brightside,The Killers,10,38,2005,003vvx7Niy0yvhvHt4a68B,0.352,0.911,C#,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,003vvx7Niy0yvhvHt4a68B,3.72
136,2005,Lonely No More,Rob Thomas,6,34,2005,4faFAhOflLzhfJECveRwva,0.551,0.896,A,-3.152,0,0.109,0.033,0,0.0899,0.858,171.79,4faFAhOflLzhfJECveRwva,3.78
137,2005,Grind With Me,Pretty Ricky,7,22,2005,3B7i9OKRRmIsSBHEbJz58Y,0.7,0.538,C#,-5.952,1,0.045,0.000204,0,0.105,0.189,136.518,3B7i9OKRRmIsSBHEbJz58Y,3.96
138,2005,Inside Your Heaven,Bo Bice,2,7,2005,3w8xlZi49MQuQkyyB5bi5e,0.377,0.565,G,-4.74,1,0.0312,0.112,1.65E-06,0.204,0.14,134.542,3w8xlZi49MQuQkyyB5bi5e,3.75
139,2005,Play,David Banner,7,20,2005,42VsgItocQwOQC3XWZ8JNA,0.569,0.882,D#,-2.777,0,0.06,0.0316,0,0.142,0.201,148.038,42VsgItocQwOQC3XWZ8JNA,3.2
140,2005,1 Thing,Amerie,8,20,2005,1rXq0uoV4KTgRN64jXzIxo,0.613,0.914,G,-5.153,1,0.03,0.00522,2.21E-06,0.26,0.916,141.978,1rXq0uoV4KTgRN64jXzIxo,3.45
141,2005,I Don't Want To Be,Gavin DeGraw,10,28,2005,41zXlQxzTi6cGAjpOXyLYH,0.483,0.412,G,-8.461,1,0.0402,0.737,0,0.116,0.247,170.163,41zXlQxzTi6cGAjpOXyLYH,3.39
142,2005,My Boo,Usher And Alicia Keys,1,26,2005,6pcywuOeGGWeOQzdUyti6k,0.847,0.733,A#,-6.439,0,0.16,0.00574,1.04E-05,0.151,0.202,130.029,6pcywuOeGGWeOQzdUyti6k,3.23
143,2004,It's My Life,No Doubt,10,28,2004,0v1XpBHnsbkCn7iJ9Ucr1l,0.551,0.913,C,-4.063,0,0.0466,0.0263,1.35E-05,0.347,0.544,119.992,0v1XpBHnsbkCn7iJ9Ucr1l,3.74
144,2004,My Band,D12,6,18,2004,4XHQyvbrBsQaaBUW1VvmsL,0.851,0.849,C#,-3.383,0,0.0828,0.497,2.05E-06,0.116,0.844,120.014,4XHQyvbrBsQaaBUW1VvmsL,4.98
145,2004,On Fire,Lloyd Banks,8,20,2004,5ya0TmUQw2wHMkq36rPsnd,0.461,0.887,B,-4.871,0,0.0429,0.000219,0,0.104,0.411,95.964,5ya0TmUQw2wHMkq36rPsnd,3.17
146,2004,Milkshake,Kelis,3,22,2004,2s0ouHqJebHfiQ6C1GUFJd,0.891,0.77,C#,-6.124,1,0.0439,0.00862,0.0315,0.155,0.819,112.997,2s0ouHqJebHfiQ6C1GUFJd,3.04
147,2004,Overnight Celebrity,Twista,6,20,2004,2tOZtdbkAMQASWokLvSlzj,0.828,0.792,A#,-5.435,0,0.179,0.182,0,0.281,0.777,134.199,2tOZtdbkAMQASWokLvSlzj,3.89
148,2004,Tipsy,J-Kwon,2,30,2004,0jSMveIWvnhDIvzqN74Uc7,0.925,0.744,C,-5.79,1,0.367,0.0644,0,0.0888,0.656,93.02,0jSMveIWvnhDIvzqN74Uc7,4.05
149,2004,The Reason,Hoobastank,2,38,2004,77loZpT5Y5PRP1S451P9Yz,0.472,0.671,E,-4.649,1,0.029,0.0129,0,0.159,0.0681,82.952,77loZpT5Y5PRP1S451P9Yz,3.88
150,2004,I Believe,Fantasia,1,10,2004,3G7tRC24Uh09Hmp1KZ7LQ2,0.526,0.775,C,-6.05,1,0.0352,0.707,2.05E-05,0.217,0.962,80.106,3G7tRC24Uh09Hmp1KZ7LQ2,2.79
151,2004,Freek-A-Leek,Petey Pablo,7,39,2004,4MeDnO5yA2Zi6IMlVApRci,0.756,0.691,D,-3.718,1,0.178,0.0744,0,0.364,0.632,104.999,4MeDnO5yA2Zi6IMlVApRci,3.92
152,2004,Dip It Low,Christina Milian,5,30,2004,4L55p6txv9vuCWhpNnY6eY,0.754,0.718,B,-4.209,0,0.111,0.0122,0.000111,0.0923,0.576,169.116,4L55p6txv9vuCWhpNnY6eY,3.35
153,2004,Pieces Of Me,Ashlee Simpson,5,21,2004,7yXibbAYi4to5oQTeO738f,0.532,0.807,D,-4.301,1,0.057,0.0584,0,0.114,0.759,87.183,7yXibbAYi4to5oQTeO738f,3.62
154,2003,How You Gonna Act Like That,Tyrese,7,25,2003,3OUApyz3jDB3syGUNGqB1d,0.733,0.521,D#,-3.657,0,0.0457,0.107,0,0.0692,0.525,112.913,3OUApyz3jDB3syGUNGqB1d,4.91
155,2003,God Bless The U.S.A.,American Idol Finalists,4,8,2003,623lYBOJ7bLwh1bu3yeN5V,0.299,0.422,F,-9.977,1,0.0285,0.0873,0,0.182,0.168,67.797,623lYBOJ7bLwh1bu3yeN5V,3.19
156,2003,"Never Leave You - Uh Ooh, Uh Oooh!",Lumidee,3,20,2003,3YE1DVMf46E45C3W9ybeWf,0.803,0.643,C,-5.612,1,0.34,0.0796,0.153,0.078,0.768,199.969,3YE1DVMf46E45C3W9ybeWf,3.08
157,2003,Right Thurr,Chingy,2,33,2003,0l3GEbH3CviUytD6iX4wzg,0.866,0.749,D,-3.977,1,0.253,0.15,0,0.0614,0.891,92.074,0l3GEbH3CviUytD6iX4wzg,4.18
158,2002,It's Been Awhile,Staind,5,46,2002,25CMmGsl22APKhfuj4Tp7j,0.509,0.774,F#,-4.054,1,0.0338,0.00189,0.000549,0.143,0.0824,116.529,25CMmGsl22APKhfuj4Tp7j,4.41
159,2002,Blurry,Puddle Of Mudd,5,38,2002,6lSr3iZTC144PKhvbPFzMp,0.431,0.938,D#,-4.507,0,0.0542,0.00805,0,0.138,0.523,157.462,6lSr3iZTC144PKhvbPFzMp,5.07
160,2002,Oops (Oh My),Tweet,7,20,2002,5Y0E3dOeynKuLDAXu0t0Bg,0.66,0.536,A#,-8.786,0,0.29,0.233,0.00669,0.111,0.775,159.963,5Y0E3dOeynKuLDAXu0t0Bg,3.96
161,2002,All You Wanted,Michelle Branch,6,28,2002,0kr6d8wHDQPlzuET33NVn6,0.499,0.72,G#,-9.101,1,0.0286,0.00466,0.00303,0.122,0.652,96.103,0kr6d8wHDQPlzuET33NVn6,3.63
162,2002,7 Days,Craig David,10,20,2002,0fO1pBw5d9elBhAo0OleA0,0.445,0.786,E,-6.677,1,0.0431,0.36,0.0243,0.103,0.315,144.027,0fO1pBw5d9elBhAo0OleA0,3.8
163,2002,Wherever You Will Go,The Calling,5,45,2002,5QpaGzWp0hwB5faV8dkbAz,0.558,0.719,D,-5.113,1,0.0267,0.0367,0,0.115,0.371,112.027,5QpaGzWp0hwB5faV8dkbAz,3.48
164,2002,Nothin',N.O.R.E.,10,24,2002,0mEdbdeRFQwBhN4xfyIeUM,0.596,0.62,F,-6.133,0,0.039,0.0122,0,0.82,0.102,80.029,0mEdbdeRFQwBhN4xfyIeUM,4.53
165,2002,A Thousand Miles,Vanessa Carlton,5,41,2002,4w1lzcaoZ1IC2K5TwjalRP,0.56,0.825,B,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,4w1lzcaoZ1IC2K5TwjalRP,3.96
166,2002,Gotta Get Thru This,Daniel Bedingfield,10,21,2002,747tpec1a0Hfqvj2za1pBs,0.837,0.765,G,-5.007,0,0.0631,0.0852,7.08E-05,0.1,0.912,133.57,747tpec1a0Hfqvj2za1pBs,2.69
167,2002,The Middle,Jimmy Eat World,5,33,2002,6GG73Jik4jUlQCkKg9JuGO,0.643,0.849,D,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,6GG73Jik4jUlQCkKg9JuGO,2.76
168,2001,It Wasn't Me,"Shaggy Feat. Ricardo ""RikRok"" Ducent",1,25,2001,3WkibOpDF7cQ5xntM1epyf,0.853,0.606,C,-4.596,1,0.0713,0.0561,0,0.313,0.654,94.759,3WkibOpDF7cQ5xntM1epyf,3.79
169,2001,Gotta Tell You,Samantha Mumba,4,22,2001,1rj0XawWJNisX7SGYexowJ,0.739,0.75,C,-4.513,0,0.0278,0.205,0,0.157,0.758,109.983,1rj0XawWJNisX7SGYexowJ,3.34
170,2001,Dance With Me,Debelah Morgan,8,29,2001,2tUBqZG2AbRi7Q0BIrVrEj,0.709,0.824,C#,-8.824,1,0.0453,0.207,0.000307,0.0888,0.867,118.818,2tUBqZG2AbRi7Q0BIrVrEj,4.85
171,2001,Case Of The Ex (Whatcha Gonna Do),Mya,2,30,2001,1ak0S3NhwWrUgNlQhJ1412,0.774,0.684,C#,-4.721,0,0.0408,0.0687,9.34E-05,0.0765,0.354,98.001,1ak0S3NhwWrUgNlQhJ1412,3.95
172,2001,Drive,Incubus,9,39,2001,4pCbJC43j3gSqG6Fen6upD,0.583,0.351,C,-5.836,1,0.0306,0.494,0,0.368,0.462,79.014,4pCbJC43j3gSqG6Fen6upD,3.79
173,2001,He Loves U Not,Dream,2,28,2001,6xUeKifxyG3C9oFYlzPEGs,0.722,0.926,G#,-5.849,1,0.209,0.0945,2.70E-06,0.128,0.605,155.898,6xUeKifxyG3C9oFYlzPEGs,3.78
174,2001,Butterfly,Crazy Town,1,23,2001,2cYqizR4lgvp4Qu6IQ3qGN,0.763,0.628,B,-5.85,1,0.05,0.0531,0,0.114,0.193,140.958,2cYqizR4lgvp4Qu6IQ3qGN,3.18
175,2001,Stranger In My House,Tamia,10,21,2001,3byhGb1jyYOj8uNhA1UXoO,0.654,0.621,G,-8.608,1,0.027,0.0038,0.000435,0.167,0.626,111.901,3byhGb1jyYOj8uNhA1UXoO,4.22
176,2001,Get Over Yourself,Eden's Crush,8,14,2001,0sr84SDJ9VN4EB7p2mWGur,0.523,0.787,A,-7.909,1,0.0778,0.0307,0,0.154,0.505,84.072,0sr84SDJ9VN4EB7p2mWGur,3.33
177,2001,Missing You,Case,4,22,2001,1Qrdlkgg9I4J7r3P4kZNwr,0.552,0.552,B,-9.736,0,0.0364,0.052,0,0.046,0.593,208.571,1Qrdlkgg9I4J7r3P4kZNwr,4.5
178,2001,Never Had A Dream Come True,S Club 7,10,20,2001,0fIG0HBRIjLRNDHAogtwSB,0.639,0.534,F,-5.588,1,0.0281,0.508,0,0.0948,0.434,122.931,0fIG0HBRIjLRNDHAogtwSB,4.01
179,2001,My Baby,Lil' Romeo,3,14,2001,2aBxt229cbLDOvtL7Xbb9x,0.65,0.531,E,-8.335,1,0.0364,0.457,0,0.249,0.487,78.946,2aBxt229cbLDOvtL7Xbb9x,4.3
180,2001,Follow Me,Uncle Kracker,5,33,2001,4KoecuyOpZaNFZ0UqVsllc,0.817,0.585,F,-4.688,1,0.0301,0.439,0,0.147,0.916,105.014,4KoecuyOpZaNFZ0UqVsllc,3.64
181,2001,Thank You,Dido,3,39,2001,1hz7SRTGUNAtIQ46qiNv2p,0.518,0.492,A#,-8.436,0,0.193,0.216,0.0012,0.146,0.471,78.848,1hz7SRTGUNAtIQ46qiNv2p,6.26
182,2001,What Would You Do?,City High,8,28,2001,4ewmHD3aRBmLyTsbGreNLw,0.79,0.613,A,-5.911,1,0.0698,0.288,0,0.0912,0.729,105.02,4ewmHD3aRBmLyTsbGreNLw,2.78
183,2001,Hit 'Em Up Style (Oops!),Blu Cantrell,2,34,2001,4zYTZvtcww7OWKie7fxA9E,0.667,0.773,F,-4.983,0,0.0586,0.201,0,0.404,0.667,89.976,4zYTZvtcww7OWKie7fxA9E,4.18
184,2001,Where The Party At,Jagged Edge With Nelly,3,29,2001,5mNV8Mz59bzyuQ53gTw0c0,0.596,0.661,F,-6.239,0,0.226,0.31,0,0.0847,0.86,129.491,5mNV8Mz59bzyuQ53gTw0c0,3.88
185,2000,Blue (Da Ba Dee),Eiffel 65,6,20,2000,2yAVzRiEQooPEJ9SYx11L3,0.822,0.969,G,-11.471,0,0.0582,0.259,0.000153,0.39,0.765,128.007,2yAVzRiEQooPEJ9SYx11L3,4.73
186,2000,Mambo No. 5 (A Little Bit Of...),Lou Bega,3,22,2000,6x4tKaOzfNJpEJHySoiJcs,0.622,0.807,F,-6.752,0,0.408,0.103,0,0.306,0.892,174.06,6x4tKaOzfNJpEJHySoiJcs,3.67
187,2000,Steal My Sunshine,Len,9,25,2000,4agp6oHofabdUedr0B1krj,0.412,0.829,E,-11.112,1,0.529,0.394,0,0.108,0.677,191.476,4agp6oHofabdUedr0B1krj,4.43
188,2000,I Wanna Love You Forever,Jessica Simpson,3,20,2000,5gZEhPrN1VLqTG1nIAXeNK,0.59,0.666,E,-4.047,0,0.0244,0.156,0,0.136,0.0743,104.042,5gZEhPrN1VLqTG1nIAXeNK,4.4
